danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.725,0.601,6,-7.905,0,0.125,0.264,0,0.0789,0.69,77.013,audio_features,0jizWh29OJMwTFZZ01nzxp,spotify:track:0jizWh29OJMwTFZZ01nzxp,https://api.spotify.com/v1/tracks/0jizWh29OJMwTFZZ01nzxp,https://api.spotify.com/v1/audio-analysis/0jizWh29OJMwTFZZ01nzxp,193483,4,SOBRE EL AGUA,YSY A;CLUB HATS;YESAN 雪山
0.839,0.637,7,-5.482,1,0.0781,0.0379,0,0.289,0.843,92.002,audio_features,0mfBEZtTbXZY1o7zolRRun,spotify:track:0mfBEZtTbXZY1o7zolRRun,https://api.spotify.com/v1/tracks/0mfBEZtTbXZY1o7zolRRun,https://api.spotify.com/v1/audio-analysis/0mfBEZtTbXZY1o7zolRRun,137334,4,OUCH,Mau y Ricky
0.555,0.463,0,-8.344,1,0.065,0.172,0,0.32,0.792,138.166,audio_features,0pqec6C3SFkOAyDIoYYNPG,spotify:track:0pqec6C3SFkOAyDIoYYNPG,https://api.spotify.com/v1/tracks/0pqec6C3SFkOAyDIoYYNPG,https://api.spotify.com/v1/audio-analysis/0pqec6C3SFkOAyDIoYYNPG,189511,3,Bésame - Remix,El Reja;Lira;Rombai;Hernan y La Champion's Liga
0.648,0.724,11,-4.206,1,0.13,0.00822,5.04e-05,0.0574,0.738,204.195,audio_features,0ri6HvRxDmSXudAxwG3FiM,spotify:track:0ri6HvRxDmSXudAxwG3FiM,https://api.spotify.com/v1/tracks/0ri6HvRxDmSXudAxwG3FiM,https://api.spotify.com/v1/audio-analysis/0ri6HvRxDmSXudAxwG3FiM,141242,4,Cristina Remix,DJ Alex
0.609,0.805,11,-3.765,0,0.0333,0.121,2.46e-06,0.424,0.834,129.79,audio_features,0sKaMeuhSx79DcDYClZl4s,spotify:track:0sKaMeuhSx79DcDYClZl4s,https://api.spotify.com/v1/tracks/0sKaMeuhSx79DcDYClZl4s,https://api.spotify.com/v1/audio-analysis/0sKaMeuhSx79DcDYClZl4s,209267,4,"Te Quiero Tanto, No Me Preguntes Más",Sergio Denis
0.785,0.531,6,-6.412,0,0.211,0.0458,0,0.0641,0.771,164.048,audio_features,0ueg5iK0wyh5EgHvtIz4qL,spotify:track:0ueg5iK0wyh5EgHvtIz4qL,https://api.spotify.com/v1/tracks/0ueg5iK0wyh5EgHvtIz4qL,https://api.spotify.com/v1/audio-analysis/0ueg5iK0wyh5EgHvtIz4qL,161181,4,Soltera Vá,Los Nota Lokos
0.554,0.672,1,-7.489,0,0.0291,0.0169,5.42e-05,0.186,0.285,111.963,audio_features,10zSgbysU2KyVTrcRmtu62,spotify:track:10zSgbysU2KyVTrcRmtu62,https://api.spotify.com/v1/tracks/10zSgbysU2KyVTrcRmtu62,https://api.spotify.com/v1/audio-analysis/10zSgbysU2KyVTrcRmtu62,283884,4,Por Mil Noches,Airbag
0.733,0.604,1,-2.5,1,0.0325,0.435,0,0.0504,0.868,92.483,audio_features,12vjZJEWFst8vhW4k9saOv,spotify:track:12vjZJEWFst8vhW4k9saOv,https://api.spotify.com/v1/tracks/12vjZJEWFst8vhW4k9saOv,https://api.spotify.com/v1/audio-analysis/12vjZJEWFst8vhW4k9saOv,179213,4,Corazon Mentiroso,Karina
0.583,0.977,9,-2.674,1,0.277,0.276,0,0.544,0.704,89.965,audio_features,13VEtVCYfLTVsq5STs3SlW,spotify:track:13VEtVCYfLTVsq5STs3SlW,https://api.spotify.com/v1/tracks/13VEtVCYfLTVsq5STs3SlW,https://api.spotify.com/v1/audio-analysis/13VEtVCYfLTVsq5STs3SlW,155868,4,LUZ DELITO,WOS
0.749,0.795,6,-9.396,0,0.0348,0.0874,4.84e-05,0.221,0.7,123.029,audio_features,17a6EMs038tuh87eggDJ1G,spotify:track:17a6EMs038tuh87eggDJ1G,https://api.spotify.com/v1/tracks/17a6EMs038tuh87eggDJ1G,https://api.spotify.com/v1/audio-analysis/17a6EMs038tuh87eggDJ1G,179130,4,Veinte Ciudades,Luis Alberto Spinetta
